Pos (rotation), Setpoint, Error (counts), Speed, Voltage, Current
7.04236, 1, 41, 119.167, 2.78006, 1.25
7.08264, 1, 37, 119.583, 2.74487, 1.25
7.12153, 1, 34, 120, 2.74487, 1.25
7.16042, 1, 58, 119.583, 2.93255, 1.375
7.19931, 1, 54, 119.167, 2.92082, 1.375
7.23819, 1, 50, 118.75, 2.88563, 1.375
7.27639, 1, 48, 117.5, 2.85044, 1.5
7.31528, 1, 44, 116.667, 2.81525, 1.5
7.35556, 1, 38, 116.25, 2.72141, 1.5
7.39583, 1, 59, 116.667, 2.94428, 1.5
7.43611, 1, 53, 117.083, 2.88563, 1.5
7.47778, 1, 44, 118.333, 2.81525, 1.375
7.52014, 1, 39, 119.583, 2.73314, 1.375
7.56111, 1, 31, 121.25, 2.69795, 1.25
7.60069, 1, 54, 122.5, 2.89736, 1.25
7.63958, 1, 49, 122.917, 2.85044, 1.25
7.68056, 1, 42, 122.5, 2.79179, 1.25
7.72083, 1, 38, 121.667, 2.7566, 1.375
7.76042, 1, 33, 120.833, 2.73314, 1.25
7.8, 1, 29, 120, 2.69795, 1.25
7.83889, 1, 52, 119.583, 2.88563, 1.25
7.87917, 1, 46, 119.167, 2.85044, 1.25
7.91944, 1, 38, 119.167, 2.7566, 1.25
7.95972, 1, 35, 119.167, 2.73314, 1.25
8, 1, 29, 119.167, 2.69795, 1.25
8.04028, 1, 51, 120, 2.8739, 1.25
8.08056, 1, 45, 120.417, 2.83871, 1.25
8.12014, 1, 40, 120.417, 2.78006, 1.25
8.15903, 1, 37, 120, 2.74487, 1.25
8.19792, 1, 33, 119.583, 2.70968, 1.375
8.23611, 1, 30, 118.75, 2.68622, 1.375
8.27292, 1, 57, 117.5, 2.92082, 1.375
8.31111, 1, 54, 116.25, 2.89736, 1.5
8.35069, 1, 52, 115.417, 2.85044, 1.5
8.39028, 1, 45, 114.583, 2.81525, 1.5
8.43056, 1, 38, 115, 2.7566, 1.5
8.47014, 1, 62, 116.25, 2.95601, 1.5
8.51111, 1, 54, 117.5, 2.8739, 1.375
8.55278, 1, 46, 119.167, 2.76833, 1.375
8.59236, 1, 42, 120, 2.65103, 1.375
8.63125, 1, 34, 120.417, 2.55718, 1.25
8.66944, 1, 28, 120.417, 2.4868, 1.25
8.70625, 1, 46, 119.583, 2.5325, 1
8.74236, 1, 40, 117.917, 2.39115, 1
8.77569, 1, 36, 115.417, 2.21447, 0.875
8.80694, 1, 32, 111.667, 2.17913, 0.875
8.83681, 1, 27, 107.917, 2.01422, 0.75
8.86458, 1, 42, 102.917, 1.94355, 0.75
8.88958, 1, 38, 97.9167, 1.79785, 0.75
8.91319, 1, 35, 92.0833, 1.66774, 0.625
8.95139, 1, 34, 79.1667, 1.47849, 0.625
8.96667, 1, 35, 72.5, 1.36022, 0.625
8.97917, 1, 47, 65.4167, 1.24194, 0.625
8.99097, 1, 49, 57.9167, 1.1828, 0.625
9.00069, 1, 50, 50.8333, 1.06452, 0.625
9.00833, 1, 51, 43.75, 0.993548, 0.5
9.01458, 1, 53, 37.5, 0.839785, 0.5
9.01806, 1, 60, 31.6667, 0.839785, 0.5
9.01875, 1, 65, 25.8333, 0.792473, 0.5
9.01875, 1, 69, 20, 0.760117, 0.5
